Experiment,Final State,Collisions,Iterations,Execution Time,Mean Iterations,Standart Deviation Iterations,Mean Time,Standart Deviation Time
1,"[3, 5, 7, 2, 0, 6, 4, 1]",28,87,0.0354,87.0,0.0,0.0354,0.0
2,"[6, 6, 2, 5, 7, 0, 3, 5]",26,1000,0.3999,1000.0,0.0,0.3999,0.0
3,"[6, 0, 2, 7, 5, 3, 1, 4]",28,71,0.0402,71.0,0.0,0.0402,0.0
4,"[1, 6, 4, 7, 0, 3, 5, 2]",28,338,0.1451,338.0,0.0,0.1451,0.0
5,"[4, 0, 7, 3, 1, 6, 2, 5]",28,98,0.0513,98.0,0.0,0.0513,0.0
6,"[6, 3, 1, 7, 5, 0, 2, 4]",28,604,0.2454,604.0,0.0,0.2454,0.0
7,"[3, 7, 4, 2, 0, 6, 1, 5]",28,45,0.0174,45.0,0.0,0.0174,0.0
8,"[4, 1, 3, 6, 2, 7, 5, 0]",28,91,0.0394,91.0,0.0,0.0394,0.0
9,"[5, 3, 1, 7, 4, 6, 0, 2]",28,67,0.0341,67.0,0.0,0.0341,0.0
10,"[6, 3, 1, 7, 5, 0, 2, 4]",28,117,0.0519,117.0,0.0,0.0519,0.0
11,"[7, 5, 1, 4, 0, 3, 6, 2]",27,1000,0.4785,1000.0,0.0,0.4785,0.0
12,"[1, 4, 6, 0, 2, 7, 5, 3]",28,743,0.2966,743.0,0.0,0.2966,0.0
13,"[2, 5, 7, 0, 4, 6, 1, 3]",28,77,0.0366,77.0,0.0,0.0366,0.0
14,"[2, 5, 3, 0, 7, 4, 6, 1]",28,278,0.1308,278.0,0.0,0.1308,0.0
15,"[3, 1, 7, 5, 0, 2, 4, 6]",28,87,0.0502,87.0,0.0,0.0502,0.0
16,"[2, 4, 6, 0, 3, 1, 7, 5]",28,669,0.3241,669.0,0.0,0.3241,0.0
17,"[6, 1, 7, 4, 0, 2, 5, 5]",26,1000,0.5621,1000.0,0.0,0.5621,0.0
18,"[2, 7, 3, 6, 0, 5, 1, 4]",28,70,0.0597,70.0,0.0,0.0597,0.0
19,"[5, 1, 6, 0, 2, 4, 7, 3]",28,565,0.4367,565.0,0.0,0.4367,0.0
20,"[5, 2, 6, 1, 7, 4, 0, 3]",28,256,0.1738,256.0,0.0,0.1738,0.0
21,"[1, 7, 5, 0, 2, 4, 6, 3]",28,17,0.011,17.0,0.0,0.011,0.0
22,"[4, 2, 0, 5, 7, 1, 3, 6]",28,706,0.4417,706.0,0.0,0.4417,0.0
23,"[5, 2, 0, 7, 3, 1, 6, 4]",28,651,0.496,651.0,0.0,0.496,0.0
24,"[3, 1, 6, 2, 5, 7, 4, 0]",28,24,0.0131,24.0,0.0,0.0131,0.0
25,"[4, 2, 7, 3, 6, 0, 5, 1]",28,226,0.2555,226.0,0.0,0.2555,0.0
26,"[5, 3, 0, 4, 7, 1, 6, 2]",28,400,0.2174,400.0,0.0,0.2174,0.0
27,"[1, 3, 5, 7, 2, 0, 6, 4]",28,600,0.254,600.0,0.0,0.254,0.0
28,"[4, 1, 3, 5, 7, 2, 0, 6]",28,108,0.0523,108.0,0.0,0.0523,0.0
29,"[4, 1, 3, 5, 7, 2, 0, 6]",28,132,0.0794,132.0,0.0,0.0794,0.0
30,"[5, 1, 6, 0, 2, 4, 7, 3]",28,186,0.1001,186.0,0.0,0.1001,0.0
31,"[7, 1, 4, 2, 0, 6, 3, 5]",28,69,0.0352,69.0,0.0,0.0352,0.0
32,"[3, 5, 0, 4, 1, 7, 2, 6]",28,155,0.0926,155.0,0.0,0.0926,0.0
33,"[3, 5, 0, 4, 1, 7, 2, 6]",28,504,0.2031,504.0,0.0,0.2031,0.0
34,"[5, 1, 5, 7, 0, 6, 3, 2]",26,1000,0.4895,1000.0,0.0,0.4895,0.0
35,"[5, 1, 6, 0, 3, 7, 4, 2]",28,32,0.015,32.0,0.0,0.015,0.0
36,"[7, 2, 6, 7, 1, 4, 0, 5]",26,1000,0.4783,1000.0,0.0,0.4783,0.0
37,"[3, 1, 4, 7, 5, 0, 2, 6]",28,64,0.0276,64.0,0.0,0.0276,0.0
38,"[4, 6, 1, 5, 2, 0, 7, 3]",28,615,0.3441,615.0,0.0,0.3441,0.0
39,"[6, 3, 1, 7, 5, 0, 2, 4]",28,176,0.0892,176.0,0.0,0.0892,0.0
40,"[6, 3, 1, 4, 7, 0, 2, 5]",28,661,0.5241,661.0,0.0,0.5241,0.0
41,"[5, 3, 0, 4, 7, 1, 6, 2]",28,41,0.0237,41.0,0.0,0.0237,0.0
42,"[2, 6, 1, 7, 5, 3, 0, 4]",28,465,0.2994,465.0,0.0,0.2994,0.0
43,"[7, 1, 4, 7, 0, 6, 3, 5]",27,1000,0.7897,1000.0,0.0,0.7897,0.0
44,"[5, 3, 6, 0, 7, 1, 4, 2]",28,648,0.3261,648.0,0.0,0.3261,0.0
45,"[3, 6, 2, 7, 1, 4, 0, 5]",28,313,0.1543,313.0,0.0,0.1543,0.0
46,"[5, 7, 1, 3, 0, 6, 4, 2]",28,204,0.097,204.0,0.0,0.097,0.0
47,"[4, 1, 5, 0, 6, 3, 7, 2]",28,301,0.1549,301.0,0.0,0.1549,0.0
48,"[6, 1, 5, 2, 0, 3, 7, 4]",28,226,0.1375,226.0,0.0,0.1375,0.0
49,"[3, 6, 0, 7, 4, 1, 5, 2]",28,527,0.276,527.0,0.0,0.276,0.0
50,"[0, 4, 7, 5, 2, 6, 1, 3]",28,436,0.2151,436.0,0.0,0.2151,0.0
