Experiment,Final State,Collisions,Iterations,Execution Time
1,"[7, 1, 3, 0, 6, 4, 2, 5]",28,168,0.1132042407989502
2,"[4, 6, 0, 3, 1, 7, 5, 2]",28,12,0.0060002803802490234
3,"[3, 7, 4, 2, 0, 6, 1, 5]",28,134,0.08378767967224121
4,"[3, 6, 0, 7, 4, 1, 5, 2]",28,405,0.22039222717285156
5,"[5, 1, 6, 0, 3, 7, 4, 2]",28,73,0.03790092468261719
6,"[5, 2, 0, 7, 3, 1, 6, 4]",28,47,0.029938697814941406
7,"[3, 1, 7, 5, 0, 2, 4, 6]",28,332,0.18251514434814453
8,"[4, 6, 1, 5, 2, 0, 3, 7]",28,241,0.1346263885498047
9,"[5, 2, 6, 1, 7, 4, 0, 3]",28,90,0.04586982727050781
10,"[5, 2, 4, 6, 0, 3, 1, 7]",28,40,0.02093958854675293
13,"[1, 4, 6, 0, 2, 7, 5, 3]",28,163,0.07481646537780762
15,"[3, 0, 4, 7, 1, 6, 2, 5]",28,263,0.1472318172454834
16,"[3, 5, 7, 2, 0, 6, 4, 1]",28,111,0.05186152458190918
17,"[4, 7, 3, 0, 2, 5, 1, 6]",28,312,0.13862133026123047
18,"[5, 3, 6, 0, 7, 1, 4, 2]",28,84,0.05909466743469238
19,"[5, 3, 6, 0, 2, 4, 1, 7]",28,17,0.01775646209716797
20,"[1, 5, 7, 2, 0, 3, 6, 4]",28,496,0.24018168449401855
21,"[7, 3, 0, 2, 5, 1, 6, 4]",28,366,0.16571784019470215
22,"[3, 6, 4, 1, 5, 0, 2, 7]",28,96,0.05646252632141113
23,"[6, 3, 1, 7, 5, 0, 2, 4]",28,33,0.02892470359802246
27,"[1, 3, 5, 7, 2, 0, 6, 4]",28,148,0.07477092742919922
28,"[3, 1, 7, 4, 6, 0, 2, 5]",28,49,0.03290605545043945
29,"[4, 1, 3, 6, 2, 7, 5, 0]",28,271,0.16557598114013672
30,"[3, 7, 0, 2, 5, 1, 6, 4]",28,172,0.12758159637451172
32,"[2, 5, 1, 6, 0, 3, 7, 4]",28,299,0.18352055549621582
33,"[5, 2, 6, 3, 0, 7, 1, 4]",28,867,0.5006070137023926
35,"[2, 6, 1, 7, 5, 3, 0, 4]",28,282,0.16657185554504395
36,"[5, 2, 0, 6, 4, 7, 1, 3]",28,420,0.20244836807250977
40,"[5, 2, 6, 1, 3, 7, 0, 4]",28,598,0.3887968063354492
42,"[3, 6, 4, 2, 0, 5, 7, 1]",28,551,0.3031790256500244
48,"[0, 6, 3, 5, 7, 1, 4, 2]",28,350,0.19248294830322266
