Experiment,Final State,Collisions,Iterations,Execution Time,Mean Iterations,Standart Deviation Iterations,Mean Time,Standart Deviation Time
1,"[1, 4, 0, 5, 7, 2, 6, 3]",1,518,0.0347,518.0,0.0,0.0347,0.0
2,"[2, 4, 7, 7, 0, 3, 1, 6]",1,511,0.0339,514.5,3.5,0.0343,0.0004
3,"[2, 4, 6, 0, 5, 7, 1, 3]",1,503,0.0217,510.6667,6.1283,0.0301,0.0059
4,"[7, 2, 6, 3, 0, 7, 5, 1]",2,507,0.0369,509.75,5.5396,0.0318,0.0059
5,"[1, 5, 5, 2, 0, 7, 4, 2]",2,511,0.0269,510.0,4.98,0.0308,0.0057
6,"[7, 2, 4, 6, 0, 5, 5, 1]",1,508,0.0253,509.6667,4.6068,0.0299,0.0056
7,"[5, 6, 1, 1, 4, 7, 0, 3]",2,513,0.0219,510.1429,4.4217,0.0288,0.0059
8,"[1, 6, 6, 2, 0, 7, 4, 4]",2,501,0.0314,509.0,5.1235,0.0291,0.0055
9,"[0, 1, 6, 4, 2, 7, 5, 3]",1,511,0.0224,509.2222,4.8712,0.0283,0.0056
10,"[3, 4, 6, 1, 2, 5, 7, 0]",2,508,0.0329,509.1,4.6357,0.0288,0.0055
11,"[3, 0, 2, 5, 1, 6, 4, 7]",1,516,0.034,509.7273,4.8447,0.0293,0.0055
12,"[5, 7, 0, 6, 3, 1, 6, 4]",1,516,0.0289,510.25,4.9519,0.0292,0.0052
13,"[6, 4, 0, 7, 5, 7, 2, 6]",2,504,0.0223,509.7692,5.0407,0.0287,0.0054
14,"[4, 1, 7, 0, 2, 6, 1, 3]",1,520,0.0223,510.5,5.5259,0.0282,0.0054
15,"[2, 5, 7, 1, 3, 0, 6, 4]",0,515,0.0206,510.8,5.4553,0.0277,0.0056
16,"[1, 6, 2, 7, 4, 0, 3, 5]",1,508,0.0207,510.625,5.3254,0.0273,0.0057
17,"[6, 2, 5, 1, 4, 0, 3, 3]",1,518,0.0247,511.0588,5.45,0.0271,0.0055
18,"[4, 2, 0, 3, 7, 7, 1, 6]",1,515,0.0217,511.2778,5.3728,0.0268,0.0055
19,"[5, 3, 0, 7, 4, 6, 1, 2]",1,522,0.0197,511.8421,5.7516,0.0265,0.0056
20,"[3, 0, 4, 7, 1, 6, 2, 5]",0,511,0.0237,511.8,5.6089,0.0263,0.0055
21,"[1, 7, 7, 3, 0, 2, 4, 6]",1,527,0.0299,512.5238,6.3592,0.0265,0.0054
22,"[5, 7, 4, 0, 0, 6, 1, 7]",2,510,0.0397,512.4091,6.2352,0.0271,0.006
23,"[1, 7, 0, 5, 3, 0, 6, 4]",2,515,0.0313,512.5217,6.121,0.0273,0.0059
24,"[6, 3, 5, 0, 1, 4, 2, 7]",1,511,0.0272,512.4583,5.9999,0.0273,0.0058
25,"[3, 1, 6, 4, 0, 4, 0, 5]",2,511,0.0411,512.4,5.8856,0.0278,0.0063
26,"[3, 0, 6, 5, 1, 2, 4, 7]",2,505,0.0329,512.1154,5.9441,0.028,0.0062
27,"[4, 1, 3, 6, 2, 7, 5, 0]",0,504,0.03,511.8148,6.031,0.0281,0.0061
28,"[1, 4, 2, 7, 6, 1, 3, 5]",2,508,0.0509,511.6786,5.9645,0.0289,0.0073
29,"[7, 0, 3, 1, 4, 7, 0, 2]",2,505,0.0409,511.4483,5.9861,0.0293,0.0075
30,"[0, 3, 6, 2, 5, 7, 1, 4]",1,515,0.0515,511.5667,5.9199,0.0301,0.0084
31,"[6, 3, 2, 7, 5, 1, 4, 0]",3,503,0.0315,511.2903,6.0171,0.0301,0.0083
32,"[4, 6, 0, 2, 7, 5, 3, 1]",0,516,0.0333,511.4375,5.9788,0.0302,0.0082
33,"[2, 7, 3, 1, 4, 2, 0, 6]",2,512,0.0337,511.4545,5.8883,0.0303,0.0081
34,"[2, 7, 5, 0, 5, 1, 4, 6]",1,506,0.0356,511.2941,5.8738,0.0305,0.008
35,"[1, 3, 7, 0, 2, 5, 1, 6]",1,517,0.0197,511.4571,5.8668,0.0302,0.0081
36,"[1, 4, 1, 7, 0, 3, 6, 2]",1,541,0.0211,512.2778,7.5521,0.0299,0.0081
37,"[6, 4, 2, 0, 3, 3, 7, 2]",2,509,0.0193,512.1892,7.4683,0.0296,0.0082
38,"[3, 0, 2, 4, 6, 1, 3, 5]",1,509,0.0229,512.1053,7.387,0.0294,0.0081
39,"[0, 6, 1, 2, 5, 7, 4, 3]",2,511,0.0261,512.0769,7.2938,0.0294,0.0081
40,"[3, 5, 7, 1, 6, 0, 2, 4]",0,514,0.0299,512.125,7.2083,0.0294,0.008
41,"[1, 6, 4, 2, 0, 5, 3, 5]",1,514,0.0292,512.1707,7.1257,0.0294,0.0079
42,"[1, 4, 2, 7, 3, 6, 0, 5]",1,506,0.0364,512.0238,7.1029,0.0295,0.0078
43,"[7, 0, 3, 1, 7, 5, 2, 6]",2,507,0.0275,511.907,7.0606,0.0295,0.0078
44,"[2, 4, 1, 0, 5, 3, 6, 3]",2,519,0.0375,512.0682,7.0595,0.0297,0.0078
45,"[0, 7, 1, 4, 6, 1, 3, 5]",1,512,0.0297,512.0667,6.9806,0.0297,0.0077
46,"[1, 7, 5, 2, 4, 6, 0, 3]",2,526,0.0264,512.3696,7.1971,0.0296,0.0076
47,"[2, 6, 1, 7, 4, 0, 3, 5]",0,517,0.0293,512.4681,7.1514,0.0296,0.0075
48,"[3, 6, 4, 7, 5, 0, 6, 1]",1,507,0.0296,512.3542,7.1195,0.0296,0.0074
49,"[7, 0, 4, 1, 1, 5, 6, 2]",2,513,0.0317,512.3673,7.0471,0.0296,0.0074
